alpha_id,formula,fields,group,lookback_days,delay_adaptation,formula_hash,formula_status,semantic_adaptations,semantics_version,adv_basis,evaluation_status,execution_status,strict_pit_status
31,"((rank(rank(rank(decay_linear((-1 * rank(rank(delta(close, 10)))), 10)))) + rank((-1 * delta(close, 3)))) + sign(scale(correlation(adv20, low, 12))))","[""amount"", ""close"", ""low""]",price_volume,31,next_session,87be9a2a6b8b205a151e4cf79f9e4be2bf386f1c30b2e22206c5cda52ee61d5b,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
32,"(scale(((sum(close, 7) / 7) - close)) + (20 * scale(correlation(vwap, delay(close, 5), 230))))","[""close"", ""vwap""]",price_volume,235,next_session,99c65a0203cdb4b62924339878d81a87456f54b0290095fce6f1e8d9d1909226,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
33,rank((-1 * ((1 - (open / close))^1))),"[""close"", ""open""]",price_volume,1,next_session,38899448da7ee6a151b8232b5e45ce8a0137f7992c999146f4892445f49f5c4a,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
34,"rank(((1 - rank((stddev(returns, 2) / stddev(returns, 5)))) + (1 - rank(delta(close, 1)))))","[""close"", ""returns""]",price_volume,6,next_session,e0910bdf17a3c63bdce158f7a4762a91bbdc59c3a4e7725c1687c09d73b4b764,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
35,"((Ts_Rank(volume, 32) * (1 - Ts_Rank(((close + high) - low), 16))) * (1 - Ts_Rank(returns, 32)))","[""close"", ""high"", ""low"", ""returns"", ""volume""]",price_volume,33,next_session,80302f5774b1a56dc969e9cf2aee48e0f55dc86098f24fccb63dc9b50dede748,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
36,"(((((2.21 * rank(correlation((close - open), delay(volume, 1), 15))) + (0.7 * rank((open - close)))) + (0.73 * rank(Ts_Rank(delay((-1 * returns), 6), 5)))) + rank(abs(correlation(vwap, adv20, 6)))) + (0.6 * rank((((sum(close, 200) / 200) - open) * (close - open)))))","[""amount"", ""close"", ""open"", ""returns"", ""volume"", ""vwap""]",price_volume,200,next_session,e756e01a71ac25c54b52e6ed4b708b7b28facbd1a8970d5804103de2d7ad3cee,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
37,"(rank(correlation(delay((open - close), 1), close, 200)) + rank((open - close)))","[""close"", ""open""]",price_volume,201,next_session,ebe66bc5e98e4c3a4f1db947abb597ee9df16b99f2ac72b7b34fe38b39819795,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
38,"((-1 * rank(Ts_Rank(close, 10))) * rank((close / open)))","[""close"", ""open""]",price_volume,10,next_session,ba8c02081edee468b9a1e7f9f57a07a4fee46bb2c43ab667e6a6025c25605a10,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
39,"((-1 * rank((delta(close, 7) * (1 - rank(decay_linear((volume / adv20), 9)))))) * (1 + rank(sum(returns, 250))))","[""amount"", ""close"", ""returns"", ""volume""]",price_volume,251,next_session,56dacd11875b94e3e61361a11ff6e250de539bfda55170d578374a952ac6c378,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
40,"((-1 * rank(stddev(high, 10))) * correlation(high, volume, 10))","[""high"", ""volume""]",price_volume,10,next_session,adbbec19db022edaa19f63c808b2ef4fba5c4f40ec161458f0d027b4394e3c38,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
41,(((high * low)^0.5) - vwap),"[""high"", ""low"", ""vwap""]",price_volume,1,next_session,0f2e104b5f884f56d3fb2dda5383a39a5dc18412b05a09f4e966562ff12114a6,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
42,(rank((vwap - close)) / rank((vwap + close))),"[""close"", ""vwap""]",price_volume,1,delay0_to_next_session,22f0e2884bf1db4a3bc60b35cf65e4d687fa4853e8b4cc239c456173dc5881b3,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
43,"(ts_rank((volume / adv20), 20) * ts_rank((-1 * delta(close, 7)), 8))","[""amount"", ""close"", ""volume""]",price_volume,39,next_session,057d25f260ef9c9a744aa221a956e6a8e22b18ae330346702d61cc1400ddef11,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
44,"(-1 * correlation(high, rank(volume), 5))","[""high"", ""volume""]",price_volume,5,next_session,5280de20bd2a8a2426d0b4fa6c134e600f0229f5d855d63da78e07a0d4305a3b,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
45,"(-1 * ((rank((sum(delay(close, 5), 20) / 20)) * correlation(close, volume, 2)) * rank(correlation(sum(close, 5), sum(close, 20), 2))))","[""close"", ""volume""]",price_volume,25,next_session,df9a6d320a75dd328ac6b471455850c148dc707266b8c05b61a481ffd0d960bc,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
46,"((0.25 < (((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10))) ? (-1 * 1) : (((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < 0) ? 1 : ((-1 * 1) * (close - delay(close, 1)))))","[""close""]",price_volume,21,next_session,56d974be2a8f1e2acda94284a119db797e57f43da7c752528955f3b313a829da,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
47,"((((rank((1 / close)) * volume) / adv20) * ((high * rank((high - close))) / (sum(high, 5) / 5))) - rank((vwap - delay(vwap, 5))))","[""amount"", ""close"", ""high"", ""volume"", ""vwap""]",price_volume,20,next_session,350d31e0c244e3ab4a698fd57e26b0ce30874292faf4a6751acc1d6a5da8452f,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
48,"(indneutralize(((correlation(delta(close, 1), delta(delay(close, 1), 1), 250) * delta(close, 1)) / close), IndClass.subindustry) / sum(((delta(close, 1) / delay(close, 1))^2), 250))","[""close"", ""indclass.subindustry""]",industry,252,delay0_to_next_session,63dc218b10dbae5c19271fcfae05c746e7e0ae8bf47f32ff11a9414787e38d9a,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
49,"(((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.1)) ? 1 : ((-1 * 1) * (close - delay(close, 1))))","[""close""]",price_volume,21,next_session,c95c66c097a7155a2a323c9f92512d7b1c127a3487fcbb9f117a406c7e5e7afa,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
50,"(-1 * ts_max(rank(correlation(rank(volume), rank(vwap), 5)), 5))","[""volume"", ""vwap""]",price_volume,9,next_session,5e5beeaa85383323b7cd63049247b044d0d675836b857b710de05800554ce6c0,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
51,"(((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.05)) ? 1 : ((-1 * 1) * (close - delay(close, 1))))","[""close""]",price_volume,21,next_session,7d814dc82d72eabcdd23e89588a1e0e7f583d9851379e47869394199f021e8bd,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
52,"((((-1 * ts_min(low, 5)) + delay(ts_min(low, 5), 5)) * rank(((sum(returns, 240) - sum(returns, 20)) / 220))) * ts_rank(volume, 5))","[""low"", ""returns"", ""volume""]",price_volume,241,next_session,714a9722d5579748dc7c4e66ba1a0d9025b27d39622366610fb9e4f1a9fd082e,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
53,"(-1 * delta((((close - low) - (high - close)) / (close - low)), 9))","[""close"", ""high"", ""low""]",price_volume,10,delay0_to_next_session,c7f704bfd1996546350ad5c494530a64367a5f2d84bb832adf934a7c50dae449,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
54,((-1 * ((low - close) * (open^5))) / ((low - high) * (close^5))),"[""close"", ""high"", ""low"", ""open""]",price_volume,1,delay0_to_next_session,bd2f4424f422dfe620f69516d5b672259d37f6404b983a1d31a5367b21654566,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
55,"(-1 * correlation(rank(((close - ts_min(low, 12)) / (ts_max(high, 12) - ts_min(low, 12)))), rank(volume), 6))","[""close"", ""high"", ""low"", ""volume""]",price_volume,17,next_session,46e96c1b61418d9b7bcd04f1732e069c2330f568b0e76d20bf9a076bc3388f10,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
56,"(0 - (1 * (rank((sum(returns, 10) / sum(sum(returns, 2), 3))) * rank((returns * cap)))))","[""cap"", ""returns""]",market_cap,11,next_session,fc752cd4cb2b22089b51d0c8278a64e5e86794244401576786237beb6b911aad,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
57,"(0 - (1 * ((close - vwap) / decay_linear(rank(ts_argmax(close, 30)), 2))))","[""close"", ""vwap""]",price_volume,31,next_session,939fbc5b34960a4e8a37d936301f9cd2c4126b280f3fe7fefcdfb305bbc811e3,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
58,"(-1 * Ts_Rank(decay_linear(correlation(IndNeutralize(vwap, IndClass.sector), volume, 3.92795), 7.89291), 5.50322))","[""indclass.sector"", ""volume"", ""vwap""]",industry,13,next_session,8cc0d28a6bbc4f40e9103c9046f405129db1e52716b3c0003b81b4b065edd098,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
59,"(-1 * Ts_Rank(decay_linear(correlation(IndNeutralize(((vwap * 0.728317) + (vwap * (1 - 0.728317))), IndClass.industry), volume, 4.25197), 16.2289), 8.19648))","[""indclass.industry"", ""volume"", ""vwap""]",industry,26,next_session,e26e420ff74c72e8e37d7e9644d2deef797d200da13a78761c8da6d1e8978d06,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
60,"(0 - (1 * ((2 * scale(rank(((((close - low) - (high - close)) / (high - low)) * volume)))) - scale(rank(ts_argmax(close, 10))))))","[""close"", ""high"", ""low"", ""volume""]",price_volume,10,next_session,ecd044b09ae3c2f204d3d44c53c2a5a87e1d99e9379c01f7de4997b1c0360312,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
61,"(rank((vwap - ts_min(vwap, 16.1219))) < rank(correlation(vwap, adv180, 17.9282)))","[""amount"", ""vwap""]",price_volume,196,next_session,2c802e839d02697d1e0e644b50e6e293508b0093c453c709485a7688b1a5498d,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
62,"((rank(correlation(vwap, sum(adv20, 22.4101), 9.91009)) < rank(((rank(open) + rank(open)) < (rank(((high + low) / 2)) + rank(high))))) * -1)","[""amount"", ""high"", ""low"", ""open"", ""vwap""]",price_volume,49,next_session,1116705939430f30ce22f3c6630208978501bde97a199ee43f978b7ae6bf7361,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
63,"((rank(decay_linear(delta(IndNeutralize(close, IndClass.industry), 2.25164), 8.22237)) - rank(decay_linear(correlation(((vwap * 0.318108) + (open * (1 - 0.318108))), sum(adv180, 37.2467), 13.557), 12.2883))) * -1)","[""amount"", ""close"", ""indclass.industry"", ""open"", ""vwap""]",industry,239,next_session,4246b224c6153f6a876892c2fde0eb8e887c841acf3b9d4202e6fba5c1abeef7,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
64,"((rank(correlation(sum(((open * 0.178404) + (low * (1 - 0.178404))), 12.7054), sum(adv120, 12.7054), 16.6208)) < rank(delta(((((high + low) / 2) * 0.178404) + (vwap * (1 - 0.178404))), 3.69741))) * -1)","[""amount"", ""high"", ""low"", ""open"", ""vwap""]",price_volume,146,next_session,6ea8625719adbeb6bee1bdcfb990f09b64fa72522e986d495fd5e0135b0161ab,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
65,"((rank(correlation(((open * 0.00817205) + (vwap * (1 - 0.00817205))), sum(adv60, 8.6911), 6.40374)) < rank((open - ts_min(open, 13.635)))) * -1)","[""amount"", ""open"", ""vwap""]",price_volume,72,next_session,8710cd0b59b1cd83ada518e2e8b38ccc7af70fa6e85898c0533952fe624ae6e3,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
66,"((rank(decay_linear(delta(vwap, 3.51013), 7.23052)) + Ts_Rank(decay_linear(((((low * 0.96633) + (low * (1 - 0.96633))) - vwap) / (open - ((high + low) / 2))), 11.4157), 6.72611)) * -1)","[""high"", ""low"", ""open"", ""vwap""]",price_volume,16,next_session,a6bce70e71a486aa5506b685ce235d09c72ea12d6aeddf78ff6294798645d911,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
67,"((rank((high - ts_min(high, 2.14593)))^rank(correlation(IndNeutralize(vwap, IndClass.sector), IndNeutralize(adv20, IndClass.subindustry), 6.02936))) * -1)","[""amount"", ""high"", ""indclass.sector"", ""indclass.subindustry"", ""vwap""]",industry,25,next_session,c4a4be57b5208dc6bddba4897951c8b968fb4deb250cf889c624422633018d2b,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
68,"((Ts_Rank(correlation(rank(high), rank(adv15), 8.91644), 13.9333) < rank(delta(((close * 0.518371) + (low * (1 - 0.518371))), 1.06157))) * -1)","[""amount"", ""close"", ""high"", ""low""]",price_volume,34,next_session,95216abb1330cb4a52f2c971daf0697597c013b6ad40791ca473ee3e442484a9,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
